Connection,Length (km),Bandwidth (Mbps),Equipment,Protection,Power Consumption (W)
Balranald Shire - Hay Shire,130.64,2545.0,Single-mode fiber with optical regenerators,APS with signal monitoring,1347.82
Balranald Shire - Wentworth Shire,166.43,4830.5,Single-mode fiber with optical regenerators,APS with signal monitoring,2508.47
Bathurst Region - Blayney Shire,38.85,25532.0,"Carrier-grade router, WDM",1:1 Path Protection,7679.02
"Bathurst Region - Orange, City of",43.68,43539.5,"Carrier-grade router, WDM",1:1 Path Protection,13083.69
Bega Valley Shire - Snowy Monaro Regional Council,79.42,28804.0,"Carrier-grade router, WDM",1:1 Path Protection,8680.91
Bega Valley Shire - Eurobodalla Shire,80.82,38267.5,"Carrier-grade router, WDM",1:1 Path Protection,11520.66
Bellingen Shire - Kempsey Shire,66.9,21970.5,"Carrier-grade router, WDM",1:1 Path Protection,6624.60
Bellingen Shire - Clarence Valley Council,82.67,33684.0,"Carrier-grade router, WDM",1:1 Path Protection,10146.53
Berrigan Shire - Federation Council,48.76,10782.0,"Carrier-grade router, WDM",1:1 Path Protection,3258.98
Berrigan Shire - Lockhart Shire,103.2,5992.0,Single-mode fiber with optical regenerators,APS with signal monitoring,3057.60
Bland Shire - Weddin Shire,36.12,4577.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1391.31
Bland Shire - Temora Shire,53.1,5790.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1763.70
Blayney Shire - Oberon Shire,59.76,6538.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1991.43
Blayney Shire - Cabonne Shire,62.18,10631.5,"Carrier-grade router, WDM",1:1 Path Protection,3220.54
"Blue Mountains, City of - Wollondilly Shire",42.81,66041.0,"Carrier-grade router, WDM",1:1 Path Protection,19833.70
Bogan Shire - Warren Shire,87.81,2508.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,796.45
Bogan Shire - Cobar Shire,103.04,3263.0,Single-mode fiber with optical regenerators,APS with signal monitoring,1693.02
Bourke Shire - Brewarrina Shire,102.58,1848.0,Single-mode fiber with optical regenerators,APS with signal monitoring,985.29
Bourke Shire - Cobar Shire,156.76,3199.5,Single-mode fiber with optical regenerators,APS with signal monitoring,1688.13
Brewarrina Shire - Walgett Shire,111.62,3304.5,Single-mode fiber with optical regenerators,APS with signal monitoring,1718.06
Brewarrina Shire - Coonamble Shire,182.01,2544.0,Single-mode fiber with optical regenerators,APS with signal monitoring,1373.01
"Broken Hill, City of - Unincorporated Far West",156.11,9302.0,Single-mode fiber with optical regenerators,APS with signal monitoring,4739.06
"Broken Hill, City of - Central Darling Shire",192.13,9656.5,Single-mode fiber with optical regenerators,APS with signal monitoring,4934.31
Byron Shire - Tweed Shire,45.4,66754.0,"Carrier-grade router, WDM",1:1 Path Protection,20048.90
Byron Shire - Kyogle Council,46.91,22737.5,"Carrier-grade router, WDM",1:1 Path Protection,6844.70
Cabonne Shire - Parkes Shire,54.24,14063.5,"Carrier-grade router, WDM",1:1 Path Protection,4246.17
Cabonne Shire - Forbes Shire,74.75,11542.5,"Carrier-grade router, WDM",1:1 Path Protection,3500.12
Camden Council - Cumberland City Council,36.53,177382.0,"Carrier-grade router, WDM",1:1 Path Protection,53232.86
Camden Council - Georges River Council,37.4,135799.5,"Carrier-grade router, WDM",1:1 Path Protection,40758.55
Carrathool Shire - Hay Shire,55.05,2874.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,889.72
"Carrathool Shire - Griffith, City of",57.6,14976.0,"Carrier-grade router, WDM",1:1 Path Protection,4521.60
Central Coast Council - Hornsby Shire,38.23,249203.5,"Carrier-grade router, WDM",1:1 Path Protection,74780.17
Central Coast Council - Ku-ring-gai Council,38.59,235336.0,"Carrier-grade router, WDM",1:1 Path Protection,70620.10
Central Darling Shire - Unincorporated Far West,192.18,1370.5,Single-mode fiber with optical regenerators,APS with signal monitoring,791.34
Central Darling Shire - Cobar Shire,224.27,2892.0,Single-mode fiber with optical regenerators,APS with signal monitoring,1578.13
"Cessnock, City of - Newcastle, City of",41.66,116252.5,"Carrier-grade router, WDM",1:1 Path Protection,34896.58
"Cessnock, City of - Port Stephens Council",47.59,69454.0,"Carrier-grade router, WDM",1:1 Path Protection,20859.99
"Clarence Valley Council - Coffs Harbour, City of",73.49,66437.0,"Carrier-grade router, WDM",1:1 Path Protection,19967.84
Clarence Valley Council - Richmond Valley Council,76.45,38840.0,"Carrier-grade router, WDM",1:1 Path Protection,11690.23
Cobar Shire - Lachlan Shire,183.69,5076.5,Single-mode fiber with optical regenerators,APS with signal monitoring,2640.09
Cobar Shire - Warren Shire,190.74,3304.5,Single-mode fiber with optical regenerators,APS with signal monitoring,1757.62
"Coffs Harbour, City of - Nambucca Shire",53.91,49583.0,"Carrier-grade router, WDM",1:1 Path Protection,14901.85
"Coffs Harbour, City of - Kempsey Shire",92.81,54723.5,"Carrier-grade router, WDM",1:1 Path Protection,16463.45
Coolamon Shire - Narrandera Shire,39.34,5041.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1532.12
Coolamon Shire - Temora Shire,46.49,5209.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1586.09
Coonamble Shire - Gilgandra Shire,80.54,4013.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1244.32
Coonamble Shire - Warren Shire,98.3,3141.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,991.45
Cootamundra-Gundagai Regional Council - Hilltops Council,45.74,15328.5,"Carrier-grade router, WDM",1:1 Path Protection,4621.42
Cootamundra-Gundagai Regional Council - Junee Shire,48.07,8909.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,2696.73
Cowra Shire - Weddin Shire,58.15,8166.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,2478.87
Cowra Shire - Hilltops Council,62.22,15989.0,"Carrier-grade router, WDM",1:1 Path Protection,4827.81
Central Coast Council - Cumberland City Council,56.46,291017.5,"Carrier-grade router, WDM",1:1 Path Protection,87333.48
Dubbo Regional Council - Gilgandra Shire,69.06,29608.5,"Carrier-grade router, WDM",1:1 Path Protection,8917.08
Dubbo Regional Council - Warren Shire,95.18,28736.0,"Carrier-grade router, WDM",1:1 Path Protection,8668.39
Dungog Shire - Port Stephens Council,38.36,42408.5,"Carrier-grade router, WDM",1:1 Path Protection,12741.73
"Dungog Shire - Maitland, City of",41.4,49883.5,"Carrier-grade router, WDM",1:1 Path Protection,14985.75
Edward River Council - Murray River Council,62.89,10653.0,"Carrier-grade router, WDM",1:1 Path Protection,3227.35
Edward River Council - Hay Shire,74.02,5669.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,1737.71
Eurobodalla Shire - Queanbeyan-Palerang Regional Council,92.33,51948.5,"Carrier-grade router, WDM",1:1 Path Protection,15630.72
Eurobodalla Shire - Snowy Monaro Regional Council,105.27,31129.5,WDM with optical regenerators,APS with signal monitoring,9401.49
Federation Council - Lockhart Shire,60.18,8109.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,2462.79
Federation Council - Greater Hume Shire,80.31,12028.0,"Carrier-grade router, WDM",1:1 Path Protection,3648.56
Forbes Shire - Weddin Shire,55.62,6463.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1966.86
Bland Shire - Forbes Shire,73.82,7433.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,2266.81
Gilgandra Shire - Warrumbungle Shire,76.17,6760.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,2066.09
Gilgandra Shire - Narromine Shire,79.32,5327.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1637.91
Glen Innes Severn Council - Tenterfield Shire,74.79,7870.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,2398.55
Glen Innes Severn Council - Inverell Shire,76.42,13392.0,"Carrier-grade router, WDM",1:1 Path Protection,4055.81
"Goulburn Mulwaree Council - Shoalhaven, City of",57.48,70292.0,"Carrier-grade router, WDM",1:1 Path Protection,21116.34
Goulburn Mulwaree Council - Upper Lachlan Shire,69.25,20283.5,"Carrier-grade router, WDM",1:1 Path Protection,6119.68
Greater Hume Shire - Lockhart Shire,71.73,7238.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,2207.26
"Greater Hume Shire - Wagga Wagga, City of",72.63,39383.0,"Carrier-grade router, WDM",1:1 Path Protection,11851.22
"Griffith, City of - Leeton Shire",44.54,19269.0,"Carrier-grade router, WDM",1:1 Path Protection,5802.97
"Griffith, City of - Murrumbidgee Council",59.77,15219.5,"Carrier-grade router, WDM",1:1 Path Protection,4595.73
Gunnedah Shire - Tamworth Regional Council,63.95,37999.5,"Carrier-grade router, WDM",1:1 Path Protection,11431.83
Gunnedah Shire - Liverpool Plains Shire,74.0,10240.0,"Carrier-grade router, WDM",1:1 Path Protection,3109.00
Gwydir Shire - Inverell Shire,69.55,11381.5,"Carrier-grade router, WDM",1:1 Path Protection,3449.22
Gwydir Shire - Moree Plains Shire,87.02,8830.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,2692.66
"Hawkesbury, City of - Penrith, City of",51.68,142435.5,"Carrier-grade router, WDM",1:1 Path Protection,42756.49
Hay Shire - Murrumbidgee Council,68.28,3117.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,969.39
"Griffith, City of - Hay Shire",112.6,14984.0,WDM with optical regenerators,APS with signal monitoring,4561.50
Hilltops Council - Weddin Shire,55.05,11431.0,"Carrier-grade router, WDM",1:1 Path Protection,3456.82
Bland Shire - Hilltops Council,70.02,12400.5,"Carrier-grade router, WDM",1:1 Path Protection,3755.16
Armidale Regional Council - Inverell Shire,97.73,23488.5,"Carrier-grade router, WDM",1:1 Path Protection,7095.41
Inverell Shire - Uralla Shire,103.28,11912.0,WDM with optical regenerators,APS with signal monitoring,3635.24
Junee Shire - Temora Shire,47.09,6224.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1890.89
Coolamon Shire - Junee Shire,47.73,5400.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,1643.87
Kempsey Shire - Nambucca Shire,39.36,25547.5,"Carrier-grade router, WDM",1:1 Path Protection,7683.93
Kempsey Shire - Port Macquarie-Hastings Council,51.68,58725.0,"Carrier-grade router, WDM",1:1 Path Protection,17643.34
"Kiama, Municipality of - Wingecarribee Shire",49.78,37891.5,"Carrier-grade router, WDM",1:1 Path Protection,11392.34
"Kiama, Municipality of - Shoalhaven, City of",54.59,65802.5,"Carrier-grade router, WDM",1:1 Path Protection,19768.04
Kyogle Council - Richmond Valley Council,48.08,16462.0,"Carrier-grade router, WDM",1:1 Path Protection,4962.64
Kyogle Council - Tweed Shire,71.55,53375.5,"Carrier-grade router, WDM",1:1 Path Protection,16048.42
Forbes Shire - Lachlan Shire,109.82,7706.5,Single-mode fiber with optical regenerators,APS with signal monitoring,3918.16
Lachlan Shire - Parkes Shire,111.16,10227.5,WDM with optical regenerators,APS with signal monitoring,3133.83
"Lake Macquarie, City of - Maitland, City of",36.02,152035.5,"Carrier-grade router, WDM",1:1 Path Protection,45628.66
"Lake Macquarie, City of - Port Stephens Council",43.82,144560.5,"Carrier-grade router, WDM",1:1 Path Protection,43390.06
Coolamon Shire - Leeton Shire,66.23,7918.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,2408.66
Leeton Shire - Murrumbidgee Council,77.21,7402.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,2259.36
"Lismore, City of - Richmond Valley Council",39.37,33949.5,"Carrier-grade router, WDM",1:1 Path Protection,10204.53
"Lismore, City of - Tweed Shire",73.74,70863.0,"Carrier-grade router, WDM",1:1 Path Protection,21295.77
"Lithgow, City of - Oberon Shire",36.01,13211.0,"Carrier-grade router, WDM",1:1 Path Protection,3981.30
"Lithgow, City of - Penrith, City of",59.0,119253.0,"Carrier-grade router, WDM",1:1 Path Protection,35805.40
Liverpool Plains Shire - Upper Hunter Shire,63.35,10890.0,"Carrier-grade router, WDM",1:1 Path Protection,3298.68
Liverpool Plains Shire - Muswellbrook Shire,82.09,11954.0,"Carrier-grade router, WDM",1:1 Path Protection,3627.24
Lockhart Shire - Narrandera Shire,59.11,4508.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1382.11
"Lockhart Shire - Wagga Wagga, City of",59.79,35464.0,"Carrier-grade router, WDM",1:1 Path Protection,10669.09
"Maitland, City of - Singleton Council",40.06,57401.5,"Carrier-grade router, WDM",1:1 Path Protection,17240.48
"Central Coast Council - Maitland, City of",79.07,218411.0,"Carrier-grade router, WDM",1:1 Path Protection,65562.83
Dungog Shire - Mid-Coast Council,49.16,53060.0,"Carrier-grade router, WDM",1:1 Path Protection,15942.58
Mid-Coast Council - Port Stephens Council,82.55,85927.5,"Carrier-grade router, WDM",1:1 Path Protection,25819.53
Bathurst Region - Mid-Western Regional,77.97,34640.0,"Carrier-grade router, WDM",1:1 Path Protection,10430.99
"Mid-Western Regional - Orange, City of",95.74,34612.5,"Carrier-grade router, WDM",1:1 Path Protection,10431.62
Moree Plains Shire - Narrabri Shire,127.71,12727.0,WDM with optical regenerators,APS with signal monitoring,3891.95
Inverell Shire - Moree Plains Shire,156.14,15302.0,WDM with optical regenerators,APS with signal monitoring,4678.67
Hay Shire - Murray River Council,113.56,7866.0,Single-mode fiber with optical regenerators,APS with signal monitoring,3999.78
Murray River Council - Murrumbidgee Council,150.0,8101.5,Single-mode fiber with optical regenerators,APS with signal monitoring,4135.75
Edward River Council - Murrumbidgee Council,89.31,5904.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1816.00
Murrumbidgee Council - Narrandera Shire,101.83,4525.5,Single-mode fiber with optical regenerators,APS with signal monitoring,2323.66
Muswellbrook Shire - Singleton Council,41.81,20467.0,"Carrier-grade router, WDM",1:1 Path Protection,6161.00
Muswellbrook Shire - Upper Hunter Shire,46.02,15293.0,"Carrier-grade router, WDM",1:1 Path Protection,4610.91
Nambucca Shire - Port Macquarie-Hastings Council,81.59,53584.5,"Carrier-grade router, WDM",1:1 Path Protection,16116.14
Clarence Valley Council - Nambucca Shire,109.4,37261.0,WDM with optical regenerators,APS with signal monitoring,11243.00
"Griffith, City of - Narrandera Shire",74.12,16392.0,"Carrier-grade router, WDM",1:1 Path Protection,4954.66
"Narrandera Shire - Wagga Wagga, City of",77.16,36653.5,"Carrier-grade router, WDM",1:1 Path Protection,11034.63
Gunnedah Shire - Narrabri Shire,85.15,12816.0,"Carrier-grade router, WDM",1:1 Path Protection,3887.37
Gwydir Shire - Narrabri Shire,118.13,8806.5,Single-mode fiber with optical regenerators,APS with signal monitoring,4472.31
Narromine Shire - Warren Shire,70.85,4455.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,1371.92
Narromine Shire - Parkes Shire,100.65,10360.5,WDM with optical regenerators,APS with signal monitoring,3168.47
"Dungog Shire - Newcastle, City of",58.21,89207.0,"Carrier-grade router, WDM",1:1 Path Protection,26791.20
"Central Coast Council - Newcastle, City of",69.01,257734.5,"Carrier-grade router, WDM",1:1 Path Protection,77354.85
Central Coast Council - North Sydney Council,47.21,207773.0,"Carrier-grade router, WDM",1:1 Path Protection,62355.50
"Blue Mountains, City of - Oberon Shire",50.6,41850.5,"Carrier-grade router, WDM",1:1 Path Protection,12580.45
Bathurst Region - Oberon Shire,54.02,24573.5,"Carrier-grade router, WDM",1:1 Path Protection,7399.06
"Cowra Shire - Orange, City of",72.49,28118.0,"Carrier-grade router, WDM",1:1 Path Protection,8471.65
"Orange, City of - Parkes Shire",85.39,28936.5,"Carrier-grade router, WDM",1:1 Path Protection,8723.64
Parkes Shire - Weddin Shire,82.58,8984.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,2736.64
Cowra Shire - Parkes Shire,89.94,13542.5,"Carrier-grade router, WDM",1:1 Path Protection,4107.72
"Camden Council - Parramatta Council, City of",39.64,188027.0,"Carrier-grade router, WDM",1:1 Path Protection,56427.92
"Central Coast Council - Parramatta Council, City of",53.14,301662.5,"Carrier-grade router, WDM",1:1 Path Protection,90525.32
"Penrith, City of - Strathfield, Municipality of",38.55,131628.5,"Carrier-grade router, WDM",1:1 Path Protection,39507.82
Mid-Coast Council - Port Macquarie-Hastings Council,87.27,91670.5,"Carrier-grade router, WDM",1:1 Path Protection,27544.78
Port Macquarie-Hastings Council - Walcha Shire,104.24,44889.0,WDM with optical regenerators,APS with signal monitoring,13528.82
Port Stephens Council - Singleton Council,65.85,49926.5,"Carrier-grade router, WDM",1:1 Path Protection,15010.87
Queanbeyan-Palerang Regional Council - Yass Valley Council,53.77,40292.5,"Carrier-grade router, WDM",1:1 Path Protection,12114.64
Goulburn Mulwaree Council - Queanbeyan-Palerang Regional Council,71.41,47678.5,"Carrier-grade router, WDM",1:1 Path Protection,14339.25
Byron Shire - Richmond Valley Council,70.47,29840.5,"Carrier-grade router, WDM",1:1 Path Protection,8987.39
Richmond Valley Council - Tenterfield Shire,96.34,15187.5,"Carrier-grade router, WDM",1:1 Path Protection,4604.42
"Penrith, City of - Ryde, City of",38.88,173393.5,"Carrier-grade router, WDM",1:1 Path Protection,52037.49
Dungog Shire - Singleton Council,56.68,17059.0,"Carrier-grade router, WDM",1:1 Path Protection,5146.04
"Lake Macquarie, City of - Singleton Council",66.62,119211.0,"Carrier-grade router, WDM",1:1 Path Protection,35796.61
"Shellharbour, City of - Wingecarribee Shire",47.47,64490.0,"Carrier-grade router, WDM",1:1 Path Protection,19370.74
"Shellharbour, City of - Sutherland Shire",56.73,153241.0,"Carrier-grade router, WDM",1:1 Path Protection,46000.66
"Shoalhaven, City of - Wingecarribee Shire",58.91,80620.0,"Carrier-grade router, WDM",1:1 Path Protection,24215.46
"Shellharbour, City of - Shoalhaven, City of",63.0,92401.0,"Carrier-grade router, WDM",1:1 Path Protection,27751.80
Queanbeyan-Palerang Regional Council - Snowy Monaro Regional Council,122.56,42485.0,WDM with optical regenerators,APS with signal monitoring,12816.78
Snowy Monaro Regional Council - Yass Valley Council,159.3,19473.5,WDM with optical regenerators,APS with signal monitoring,5931.70
Bega Valley Shire - Snowy Valleys Council,98.63,25416.5,"Carrier-grade router, WDM",1:1 Path Protection,7674.26
Eurobodalla Shire - Snowy Valleys Council,119.99,27742.0,WDM with optical regenerators,APS with signal monitoring,8392.60
"Central Coast Council - Strathfield, Municipality of",55.88,196094.5,"Carrier-grade router, WDM",1:1 Path Protection,58856.29
"Sutherland Shire - Willoughby, City of",35.54,152912.0,"Carrier-grade router, WDM",1:1 Path Protection,45891.37
"Sutherland Shire - Wollongong, City of",39.93,222387.5,"Carrier-grade router, WDM",1:1 Path Protection,66736.21
"Penrith, City of - Sydney, City of",49.06,214648.0,"Carrier-grade router, WDM",1:1 Path Protection,64418.93
Tamworth Regional Council - Uralla Shire,62.56,34520.5,"Carrier-grade router, WDM",1:1 Path Protection,10387.43
Tamworth Regional Council - Walcha Shire,65.87,33043.0,"Carrier-grade router, WDM",1:1 Path Protection,9945.83
Cootamundra-Gundagai Regional Council - Temora Shire,50.37,8718.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,2640.73
Hilltops Council - Temora Shire,74.95,12644.0,"Carrier-grade router, WDM",1:1 Path Protection,3830.67
Clarence Valley Council - Tenterfield Shire,103.52,30462.5,WDM with optical regenerators,APS with signal monitoring,9200.51
Kyogle Council - Tenterfield Shire,107.07,8084.5,Single-mode fiber with optical regenerators,APS with signal monitoring,4105.78
Ballina Shire - Tweed Shire,74.86,71844.0,"Carrier-grade router, WDM",1:1 Path Protection,21590.63
Richmond Valley Council - Tweed Shire,110.58,60478.5,WDM with optical regenerators,APS with signal monitoring,18208.84
Cobar Shire - Unincorporated Far West,381.48,2537.5,Single-mode fiber with optical regenerators,APS with signal monitoring,1489.49
Bourke Shire - Unincorporated Far West,386.8,1678.0,Single-mode fiber with optical regenerators,APS with signal monitoring,1062.40
Singleton Council - Upper Hunter Shire,74.67,19403.0,"Carrier-grade router, WDM",1:1 Path Protection,5858.23
Mid-Coast Council - Upper Hunter Shire,82.85,55404.0,"Carrier-grade router, WDM",1:1 Path Protection,16662.62
Oberon Shire - Upper Lachlan Shire,83.98,7047.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,2156.09
Upper Lachlan Shire - Yass Valley Council,87.14,12897.5,"Carrier-grade router, WDM",1:1 Path Protection,3912.82
Uralla Shire - Walcha Shire,39.3,4493.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1367.70
Kempsey Shire - Uralla Shire,101.94,18329.5,WDM with optical regenerators,APS with signal monitoring,5559.82
"Coolamon Shire - Wagga Wagga, City of",53.03,35997.0,"Carrier-grade router, WDM",1:1 Path Protection,10825.61
"Temora Shire - Wagga Wagga, City of",75.54,36821.5,"Carrier-grade router, WDM",1:1 Path Protection,11084.22
Kempsey Shire - Walcha Shire,87.23,16852.0,"Carrier-grade router, WDM",1:1 Path Protection,5099.21
Upper Hunter Shire - Walcha Shire,111.44,8622.5,Single-mode fiber with optical regenerators,APS with signal monitoring,4376.97
Coonamble Shire - Walgett Shire,106.39,4492.5,Single-mode fiber with optical regenerators,APS with signal monitoring,2309.45
Narrabri Shire - Walgett Shire,162.77,8978.0,Single-mode fiber with optical regenerators,APS with signal monitoring,4580.39
Gilgandra Shire - Warren Shire,81.48,3422.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,1067.49
Lachlan Shire - Warren Shire,139.29,4322.0,Single-mode fiber with optical regenerators,APS with signal monitoring,2240.64
Gunnedah Shire - Warrumbungle Shire,90.96,11077.0,"Carrier-grade router, WDM",1:1 Path Protection,3368.58
Liverpool Plains Shire - Warrumbungle Shire,101.36,8388.0,Single-mode fiber with optical regenerators,APS with signal monitoring,4254.68
Temora Shire - Weddin Shire,79.4,4821.0,"Medium-grade router, single-mode fiber",1:1 Path Protection,1486.00
Cootamundra-Gundagai Regional Council - Weddin Shire,84.94,7505.5,"Medium-grade router, single-mode fiber",1:1 Path Protection,2294.12
"Broken Hill, City of - Wentworth Shire",241.87,12520.5,WDM with optical regenerators,APS with signal monitoring,3897.08
Murray River Council - Wentworth Shire,249.11,10151.5,WDM with optical regenerators,APS with signal monitoring,3190.00
"Central Coast Council - Willoughby, City of",44.22,211104.5,"Carrier-grade router, WDM",1:1 Path Protection,63353.46
Wingecarribee Shire - Wollondilly Shire,45.27,53335.0,"Carrier-grade router, WDM",1:1 Path Protection,16023.14
"Wingecarribee Shire - Wollongong, City of",48.83,133636.5,"Carrier-grade router, WDM",1:1 Path Protection,40115.36
"Penrith, City of - Wollondilly Shire",42.57,135812.5,"Carrier-grade router, WDM",1:1 Path Protection,40765.04
Sutherland Shire - Wollondilly Shire,50.59,142086.0,"Carrier-grade router, WDM",1:1 Path Protection,42651.09
Cootamundra-Gundagai Regional Council - Yass Valley Council,83.86,14342.0,"Carrier-grade router, WDM",1:1 Path Protection,4344.53
Goulburn Mulwaree Council - Yass Valley Council,86.57,24667.0,"Carrier-grade router, WDM",1:1 Path Protection,7443.38
Northern Beaches Council - Southern Cross Cable Network,0.0,13400000.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,4020000.00
"Sydney, City of - AJC",0.0,10000000.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,3000000.00
Northern Beaches Council - APNG-2,0.0,1100.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,330.00
Northern Beaches Council - Gondwana-1,0.0,640000.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,192000.00
Waverley Council - Telstra Endeavour,0.0,80000.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,24000.00
Northern Beaches Council - PPC-1,0.0,1920000.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,576000.00
"Sydney, City of - Tasman Global Access",0.0,20000000.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,6000000.00
Waverley Council - Hawaiki Cable,0.0,30000000.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,9000000.00
Waverley Council - Indigo Central,0.0,40000000.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,12000000.00
Waverley Council - Coral Sea Cable System,0.0,40000000.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,12000000.00
Northern Beaches Council - JGA South,0.0,36000000.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,10800000.00
Northern Beaches Council - Southern Cross NEXT,0.0,72000000.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,21600000.00
